Description,2024 Q4,2024 Q3,2024 Q2,2024 Q1,2023 Q4,2023 Q3,2023 Q2,2023 Q1,2022 Q4,2022 Q3,2022 Q2,2022 Q1,2021 Q4,2021 Q3,2021 Q2,2021 Q1,2020 Q4,2020 Q3,2020 Q2,2020 Q1,2019 Q4,2019 Q3,2019 Q2,2019 Q1,2018 Q4,2018 Q3,2018 Q2,2018 Q1,2017 Q4,2017 Q3,2017 Q2,2017 Q1,2016 Q4,2016 Q3,2016 Q2,2016 Q1,2015 Q4,2015 Q3,2015 Q2,2015 Q1,2014 Q4,2014 Q3,2014 Q2,2014 Q1,2013 Q4,2013 Q3,2013 Q2,2013 Q1,2012 Q4,2012 Q3,2012 Q2,2012 Q1,2011 Q4,2011 Q3,2011 Q2,2011 Q1,2010 Q4,2010 Q3,2010 Q2,2010 Q1
    Credit Agricole SA,146171.0,,117136.0,,108404.0,,,,119573.0,,,,93898.0,,95791.0,,116237.0,,124241.0,,100795.0,,111458.0,,94554.0,,99167.0,,105795.0,,122753.0,,149308.0,,,,155743.0,,,,182440.0,,,,150344.0,,,,198485.0,,,,349448.0,,,,,,,
    Deutsche Bank AG,291754.0,243383.0,237222.0,231186.0,251856.0,287597.0,258731.0,246299.0,299686.0,394993.0,322978.0,292011.0,299732.0,277147.0,273877.0,290488.0,343455.0,341836.0,372811.0,433846.0,332931.0,,366007.0,331040.0,320058.0,,,,,372019.0,,,,,,,,,,,,,,,504590.0,,,,768353.0,,,,859582.0,,554958.0,,657780.0,819830.0,802709.0,
    DNB Bank ASA,9315.121162,,,,11515.69886,,,,16397.90949,,,,11706.96319,,,,14783.29505,,,,9833.53984,,,,10178.61591,,,,10771.94203,,,,13733.79543,,,,17216.71665,,,,,,,,,,,,,,,,,,,,,,,
    Danske Bank A/S,34962.43655,,,,46352.04005,,,,57387.09525,,,,33961.09774,,,,49093.32717,,,,38028.69575,,,,31650.62843,,,,33373.48578,,,,,,,,,,,,44455.61899,,,,21704.72983,15356.04133,,15243.82711,14439.19243,13941.93908,14187.93319,,,,,,,,,
    Erste Group Bank AG,1226.0,1103.0,1048.0,1105.123,1262.0,1356.531,1305.538,1668.206,1718.0,1981.763,1933.707,2171.854,2264.4,2269.365,2145.577,2551.287,2954.4,3369.313,3232.52,4034.838,2805.447,3551.441,3100.84,3207.701,3037.413,3303.315,3804.265,3696.009,3333.142,3638.93,3990.215,4101.429,4474.783,5297.325,5609.982,5668.288,5303.001,5633.413,5613.343,7628.141,7173.38,,,,6342.237,,,8149.0,,9642.0,9006.0,8082.0,7948.0,8889.0,5317.0,7064.0,6019.0,3383.0,2872.0,
    FinecoBank Banca Fineco SpA,,,6.635,,5.321,,7.193,,6.365,,11.105,,5.443,,6.687,,7.055,,8.54,,,,4.227,,4.759,,6.853,,,,6.486,,4.864,,,,3.352,,5.393,,,,,,,,,,,,,,,,,,,,,
    ING Groep NV,1606.0,,,,771.0,,,,30841.0,,,,19764.0,,,,27238.0,,,,21694.0,,,,22110.0,,,,27444.0,,,,,,,,,,,,,,,,31433.0,,,,,,,,,,,,,,,
    Intesa Sanpaolo SpA,,25394.0,24992.0,25458.0,25520.0,29666.0,29001.0,28846.0,30955.0,34865.0,28508.0,24329.0,23120.0,24165.0,23870.0,26102.0,29899.0,30521.0,31535.0,32183.0,26402.0,31028.0,27226.0,26027.0,25902.0,24672.0,25917.0,24728.0,24780.0,,,,30220.0,,,,30894.0,,31654.0,,36729.0,34174.0,,,29909.0,,,,,,,,,,,,,,,
    KBC Group NV,4584.0,3657.0,4239.0,4137.0,4618.0,5607.0,5350.0,5337.0,6279.0,8521.0,7271.0,5838.0,5443.0,4643.0,4594.0,5340.0,5659.0,6246.0,5836.0,7740.0,5163.0,6551.0,5270.0,5395.0,4942.0,5205.0,5758.0,5168.0,5765.0,6087.0,6503.0,6777.0,8249.0,,,,8188.0,,,,8814.0,,8117.0,,7823.0,8696.0,9127.0,11171.0,12095.0,14429.0,14951.0,14514.0,16750.0,,,,15758.0,18985.0,29066.0,
    Lloyds Banking Group PLC,,,22365.3449,,,,27530.75728,,,,34310.03043,,26110.68637,,25635.2266,,32156.0611,,34582.5857,,29685.54448,,27494.4709,,24521.46979,,28022.98484,,26945.63068,,31709.0658,,,,,,36314.30646,,,,41070.74339,,,,,,,,,,55869.37175,,63619.21042,,50112.20896,,50590.847,,64525.11447,
